start_town,n,mae,rmse,mean_error,p50_ae,p80_ae,p90_ae,p95_ae,within_60,within_120,overpromise_gt60,underpromise_gt60
中山區,11051,72.26187252804723,104.2930523387884,-17.853158944987694,50.54232923478682,108.82510764642188,159.69333309422206,215.58384326099284,56.96317075377794,82.77983892860374,16.776762283956202,26.26006696226586
大安區,10039,74.11944986364293,105.27101687460066,-22.59845810171267,52.586489371181415,113.10700272438741,164.28894598415448,220.91097711907676,55.473652754258396,81.82089849586612,16.465783444566192,28.060563801175416
信義區,8277,76.8247813377658,110.99230406853556,-20.87446785033655,53.71918922620145,116.94807431230618,167.99816645722024,229.10726861781578,54.21046272804156,81.0438564697354,17.820466352543193,27.969070919415245
中正區,6633,77.67219523685013,113.3428811021486,-24.754608060398063,53.56958599604377,115.8108905866784,174.0691973398523,233.07182975080758,54.63591135232926,81.15483190110055,16.52344338911503,28.840645258555707
松山區,6482,72.00317811541322,101.42316984260263,-18.994850287837625,52.26657889125007,111.18794447204579,159.03019761604347,209.54004400889661,55.72354211663067,82.44369021906819,16.52267818574514,27.753779697624193
板橋區,6146,84.82641284272476,122.88950172369731,-29.43663660513566,60.214683632122785,127.1590932678111,182.5630692097973,250.6005504984547,49.80475105759844,77.7741620566222,18.402212821347216,31.793036121054346
內湖區,5407,72.75411190413737,107.16237726400239,-18.715280707880588,50.1384334365039,107.76204110183257,156.91546631199472,218.394017360798,57.05566857776956,83.07749213981876,17.84723506565563,25.09709635657481
三重區,4533,72.12678819961606,104.46300528949767,-19.25221081458957,51.51591630212664,110.07873403972813,154.3330339556991,204.83763149968996,56.849768365320976,82.66048974189279,16.435031987646152,26.715199647032872
中和區,4226,88.5170740297787,127.72926999891688,-36.74963067201317,61.716150833023335,133.9740130123381,196.46311893996614,262.0502813079735,49.266445811642214,75.65073355418835,16.516800757217226,34.21675343114055
西屯區,3958,73.92051803649784,104.51579735400414,-18.191850987715014,53.91019806832752,112.19488696789016,161.68008719853648,211.75217859179912,53.8655886811521,82.54168772107124,18.999494694290046,27.13491662455786
花蓮市,3605,59.35533982321462,90.00827053687816,-7.096320398419191,40.84638522670821,87.65560968398616,129.1820075684288,172.02215930835408,65.40915395284327,88.26629680998613,16.033287101248266,18.55755894590846
新莊區,3601,80.59301795955538,115.94572786129598,-25.459947594103195,56.85133542938024,124.30554556558934,177.8751447206825,241.58150730864588,52.15217995001389,79.03360177728409,17.800610941405164,30.04720910858095
士林區,3089,81.46909952931408,117.03562378274434,-29.12679044160292,57.56474594044471,123.59173324380943,180.15184938409925,239.3254116972786,51.69957915182907,79.02233732599548,16.7691809647135,31.53123988345743
萬華區,3062,68.37396451281377,94.50619898701382,-13.887323030419259,52.01408776887898,106.44883680288758,152.18634736472538,189.4765003038681,55.8458523840627,83.70346178967995,17.8314826910516,26.322664924885697
永和區,3012,70.35725111309192,99.30942148645632,-17.873188398578375,51.5705566565822,107.23703932379634,151.87439114621145,198.34632982526645,55.90969455511288,83.86454183266933,17.03187250996016,27.058432934926955
